bee;nest;treatment;tstartforaging;logtstartforaging;maxminusstarttime;sumfeedingtime;logsumfeedingtime;numberofvisitations;sumdistcovered;meanvisitduration;revisitations;countyellow;countorange;countblue;visitblue;visitorange;visityellow;allcolorsvisited;averagedistance;meanspeed;sumflowersvisited;visitspatchA;visitspatchB;visitspatchC;patchesvisited;allpatchesvisited;visitsperpatchrounded
2016330-01;9;imidacloprid;141;2.149219113;1688;140;2.146128036;67;5709.802565;2.089552239;16;61;6;0;0;1;1;0;114.1960513;3.833395225;18;25;13;29;3;1;22
2016330-02;9;imidacloprid;221;2.344392274;1108;74;1.86923172;35;1812.176481;2.114285714;5;26;6;3;1;1;1;1;62.48884419;4.608176391;17;14;9;12;3;1;12
2016330-03;9;imidacloprid;259;2.413299764;663;123;2.089905111;34;1451.343702;3.617647059;20;30;4;0;0;1;1;0;103.6674073;1.963281521;13;10;20;4;3;1;11
2016330-04;9;imidacloprid;127;2.103803721;577;103;2.012837225;33;1998.648045;3.121212121;11;29;4;0;0;1;1;0;95.17371641;3.522081596;14;15;14;4;3;1;11
2016330-05;9;imidacloprid;6;0.77815125;1729;134;2.127104798;30;2531.381195;4.466666667;14;28;2;0;0;1;1;0;168.7587463;2.214707769;12;16;5;9;3;1;10
2016330-06;9;imidacloprid;223;2.348304863;152;47;1.672097858;16;499.0685425;helmi.75;3;13;3;0;0;1;1;0;41.58904521;3.037112569;11;0;9;7;2;0;5
2016330-07;9;imidacloprid;1290;3.11058971;159;69;1.838849091;18;349.4427191;3.833333333;5;15;3;0;0;1;1;0;29.12022659;2.40510474;7;0;18;0;1;0;6
2016330-08;9;imidacloprid;1427;3.154423973;99;10;1;5;28.28427125;2;3;0;5;0;0;1;0;0;28.28427125;0.144307506;2;0;0;5;1;0;2
2016330-09;9;imidacloprid;622;2.793790385;944;121;2.08278537;45;2516.260115;2.688888889;6;38;6;1;1;1;1;1;66.21737146;4.763684256;13;20;25;0;2;0;15
2016410-01;10;imidacloprid;82;1.913813852;2348;366;2.563481085;72;2358.487185;5.083333333;30;58;14;0;0;1;1;0;57.52407767;2.445776439;14;30;42;0;2;0;24
2016410-02;10;imidacloprid;3591;3.555215405;16;3;0.477121255;2;44.72135955;1.touko;0;1;1;0;0;1;1;0;44.72135955;2.795084972;2;0;0;2;1;0;1
2016410-03;10;imidacloprid;1686;3.22685757;686;320;2.505149978;52;1629.91396;6.153846154;18;39;13;0;0;1;1;0;49.39133213;4.065720995;15;4;37;11;3;1;17
2016411-01;10;imidacloprid;306;2.485721426;860;189;2.276461804;73;6570.891301;2.589041096;8;69;3;0;0;1;1;0;102.6701766;8.325896839;17;14;28;30;3;1;24
2016411-02;10;imidacloprid;3430;3.53529412;692;290;2.462397998;57;2929.027013;5.087719298;15;44;11;2;1;1;1;1;71.43968324;5.308774258;21;30;20;7;3;1;19
2016411-04;10;imidacloprid;402;2.604226053;616;200;2.301029996;38;1898.713421;5.263157895;5;28;7;3;1;1;1;1;59.3347944;4.837340142;14;30;8;0;2;0;13
2016411-05;10;imidacloprid;83;1.919078092;1501;361;2.557507202;83;6317.806717;4.34939759;11;62;19;2;1;1;1;1;88.98319319;8.068262681;22;19;38;26;3;1;28
2016411-06;10;imidacloprid;44;1.643452676;1206;220;2.342422681;46;2056.064601;4.782608696;18;41;5;0;0;1;1;0;76.15054078;3.551571667;15;19;18;9;3;1;15
2016411-07;10;imidacloprid;16;1.204119983;87;27;1.431363764;7;40;3.857142857;4;5;2;0;0;1;1;0;20;1.984126984;3;0;0;7;1;0;2
2016412-01;10;imidacloprid;506;2.704150517;540;48;1.681241237;21;1207.332253;2.285714286;3;19;2;0;0;1;1;0;71.01954428;2.810233535;10;0;4;17;2;0;7
